k,train_perplexity,val_perplexity,test_perplexity,magron_test_perplexity,n_iter,time
2,1.6407909073563076,1.7050445642787464,1.704822504241278,0.5690616593019495,172,0.03500032424926758
4,1.5082276768407368,1.600809033546592,1.6442025766813968,0.555345857658253,187,0.04479074478149414
8,1.4668451103225009,1.6338956982322512,1.6801839513822414,0.5597915764158564,137,0.03199958801269531
16,1.462687427381453,1.647230748167592,1.667561220498104,0.5599088439271994,183,0.05300307273864746
