k,train_perplexity,val_perplexity,test_perplexity,magron_test_perplexity,n_iter,time
2,1.1294352847644742,1.1391277115628007,1.1380449995315667,0.13030205267918402,353,5.621991872787476
4,1.116613541009776,1.1265225855097982,1.1270768287553863,0.12639510706982354,500,7.904240608215332
8,1.1156782425529417,1.1277478033980421,1.1267948707044015,0.1279030811098634,500,7.922425985336304
16,1.113236185998509,1.124009346401254,1.1238140713772329,0.12696703480926538,500,8.165972709655762
