n_components,train_perplexity,val_perplexity,test_perplexity,n_iter,time
5,1.8896874177911314,3.2756917721233716,3.2749211117878243,3,0.011002540588378906
10,1.9600220974016238,3.3973865210428515,3.395333310587719,4,0.001998424530029297
15,2.046302552908674,3.547177365277291,3.5463428334932465,4,0.0019986629486083984
20,2.145063602632169,3.7183753924958216,3.717500583561703,3,0.0009996891021728516
25,2.254895055003805,3.9083143850119924,3.9074600914160325,4,0.0020024776458740234
