n_components,train_perplexity,val_perplexity,test_perplexity,n_iter,time
5,1.8504556014080975,3.2073035388260758,3.207303538826077,3,0.039999961853027344
10,1.8568697299527004,3.21842083186674,3.218420831866741,3,0.034000396728515625
15,1.8644083113778231,3.231487083693655,3.231487083693656,3,0.037000417709350586
20,1.8726827028446889,3.245828678819264,3.2458286788192647,3,0.04300284385681152
25,1.8815239558330767,3.2611527870960226,3.2611527870960235,3,0.040000200271606445
